dataset_version,family,parameter,arch_seed,arch_id,gates_json,energy,exact,gap,label_steps,label_restarts,depth,n_single,n_double,n_parameters,high_energy,high_gap,high_steps,high_restarts
2026-09-v3-pauli-factor-graph,Hubbard,8.0,11,9,"[[""D"",[0,3,1,2]],[""S"",[0,1]],[""D"",[0,2,1,3]],[""D"",[0,2,1,3]]]",-0.4717847379647459,-0.4721359549995794,0.0003512170348334,60,2,4,1,3,4,-0.47213594774036016,7.259219225730362e-09,160,5
2026-09-v3-pauli-factor-graph,Hubbard,0.0,79,1,"[[""S"",[3,2]],[""S"",[0,3]],[""S"",[2,3]],[""S"",[0,1]],[""S"",[1,3]]]",-1.999624614763692,-2.0,0.0003753852363082,60,2,5,5,0,5,-1.999999993374778,6.625221926626068e-09,160,5
2026-09-v3-pauli-factor-graph,Hubbard,4.0,23,12,"[[""D"",[0,3,1,2]],[""S"",[0,2]],[""S"",[0,2]],[""S"",[1,3]],[""S"",[0,2]],[""S"",[1,3]],[""S"",[1,2]],[""D"",[0,1,2,3]]]",-0.8280425182135396,-0.8284271247461902,0.0003846065326505,60,2,8,6,2,8,-0.8284270992436196,2.550257061084693e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,8.0,79,12,"[[""D"",[0,3,1,2]],[""S"",[1,2]],[""D"",[0,1,2,3]],[""S"",[2,3]],[""S"",[1,2]],[""S"",[0,1]],[""S"",[1,3]],[""S"",[0,2]]]",-0.4717387001486994,-0.4721359549995794,0.0003972548508799,60,2,8,6,2,8,-0.47213593921525376,1.578432562432397e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,0.0,11,8,"[[""S"",[0,1]],[""S"",[1,2]],[""S"",[2,3]]]",-1.9995944823081455,-2.0,0.0004055176918542,60,2,3,3,0,3,-1.999999890964221,1.0903577907228623e-07,160,5
2026-09-v3-pauli-factor-graph,Hubbard,8.0,51,11,"[[""S"",[3,2]],[""S"",[0,1]],[""D"",[0,2,1,3]],[""D"",[0,1,2,3]],[""S"",[1,2]],[""S"",[0,3]],[""S"",[0,2]],[""S"",[0,2]]]",-0.4717192859759129,-0.4721359549995794,0.0004166690236664,60,2,8,6,2,8,-0.4721356392877598,3.157118195762365e-07,160,5
2026-09-v3-pauli-factor-graph,Hubbard,8.0,23,18,"[[""D"",[0,3,1,2]],[""S"",[2,3]],[""S"",[0,2]],[""D"",[0,2,1,3]]]",-0.4716935400404358,-0.4721359549995794,0.0004424149591435,60,2,4,2,2,4,-0.4721359472118516,7.787727795971477e-09,160,5
2026-09-v3-pauli-factor-graph,Hubbard,8.0,11,3,"[[""D"",[0,3,1,2]],[""S"",[0,2]],[""S"",[1,3]],[""S"",[1,2]],[""S"",[2,3]],[""D"",[0,2,1,3]],[""S"",[0,3]],[""D"",[0,1,2,3]]]",-0.4716893024740922,-0.4721359549995794,0.0004466525254871,60,2,8,5,3,8,-0.4721354408085956,5.141909837913516e-07,160,5
2026-09-v3-pauli-factor-graph,Hubbard,8.0,11,21,"[[""D"",[0,3,1,2]],[""S"",[0,2]],[""S"",[2,3]],[""S"",[0,1]],[""S"",[2,3]],[""S"",[0,1]],[""S"",[0,3]]]",-0.4716477469141269,-0.4721359549995794,0.0004882080854524,60,2,7,6,1,7,-0.4720957319264494,4.022307313000795e-05,160,5
2026-09-v3-pauli-factor-graph,Hubbard,0.0,79,4,"[[""S"",[0,1]],[""S"",[0,3]],[""S"",[1,2]],[""D"",[0,2,1,3]],[""D"",[0,2,1,3]],[""D"",[0,1,2,3]],[""S"",[0,1]],[""S"",[0,1]]]",-1.99946294210327,-2.0,0.00053705789673,60,2,8,5,3,8,-1.999999956194313,4.380568707773591e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,4.0,11,3,"[[""D"",[0,3,1,2]],[""S"",[0,2]],[""S"",[1,3]],[""S"",[1,2]],[""S"",[2,3]],[""D"",[0,2,1,3]],[""S"",[0,3]],[""D"",[0,1,2,3]]]",-0.8278699964460928,-0.8284271247461902,0.0005571283000973,60,2,8,5,3,8,-0.82841494397548,1.2180770710190636e-05,160,5
2026-09-v3-pauli-factor-graph,Hubbard,0.0,37,10,"[[""S"",[0,1]],[""S"",[0,2]],[""S"",[0,1]],[""S"",[2,3]]]",-1.999433554402792,-2.0,0.0005664455972078,60,2,4,4,0,4,-1.9999999467293528,5.327064722671082e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,4.0,23,6,"[[""D"",[0,3,1,2]],[""S"",[0,1]],[""S"",[2,3]]]",-0.8278462565795932,-0.8284271247461902,0.0005808681665969,60,2,3,2,1,3,-0.8284271192616323,5.484557918933319e-09,160,5
